"DataflowName","Workspace","Category","RefreshFrequency","RefreshTime","Priority","DependsOn","EstimatedDurationMinutes","CUProfile","Status","Notes","DataflowId"
"df_Parts_InterbranchTransfer_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","36254981-9926-4a98-8416-2d47e50d9c54"
"df_RepairOrderDetail_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","1af5189f-0cec-4345-b6c0-52eec21bb79f"
"df_ServiceTimeSheet_AuditLog","LH_Master_Data","AdHoc","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","ef80d58b-db79-4002-bcba-5c3c91dfaaeb"
"df_ServiceTimeSheets_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","3ded70ac-cd47-4061-9fa1-79282a10683c"
"df_Technician_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","d93ac990-9a7f-44e9-9905-1686e1e8fae2"
"df_TechnicianAttendance_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","14072e8d-58af-4d3e-99df-68fb84ab2f5b"
"df_TechnicianEfficiency_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","4199cf00-30d8-42fb-9be7-aed247bca0b5"
"df_TechnicianInvoice_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","bfbee3ff-68ac-4f15-97dd-a1faf6a8d292"
"df_TechnicianInvoiceDetail_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","8a2826d7-808f-4d8b-ad4b-05de29829b3d"
"df_TechnicianPunchedDetail_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","3b1d5198-4a20-4e20-ae1c-cb255454ba80"
"df_TechnicianPunchedTime_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","272d9e76-c562-4602-9687-6282bcdbd9c2"
"df_Transform_Customers","LH_Master_Data","Transformation","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Testing","","26204c15-7caa-4c9f-bc53-e95ba831d05b"
"df_Transform_jdis_Part_Information","LH_Master_Data","Transformation","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Testing","","c4c20f3d-0ec7-4671-af1c-46b50738dce7"
"df_Transform_Jobs","LH_Master_Data","Transformation","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Testing","","090b12ba-72fd-496e-ab32-d2de8503870f"
"df_Transform_Parts","LH_Master_Data","Transformation","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Testing","","cf4277d9-3f11-4702-ac89-c3ee4ed39469"
"df_Transform_Vehicles","LH_Master_Data","Transformation","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Testing","","5dc5a372-a221-420f-af2d-351e8dd8bc8c"
"df_UniqueCustomer_Lookup","LH_Master_Data","AdHoc","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","a31867bc-fe49-43c3-83e4-c91c4ad032e0"
"df_VHSTOCK_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","157b0f2d-0329-47ed-ab13-48289a34753c"
"df_VhStockAccess_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","b5cb091c-a3e6-4f5a-b879-f9bbe18fdeed"
"df_VhTrans_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","ab839a12-597c-4cfd-a7a9-698f04700d60"
"df_WarClaim_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","d66e8fb1-33f5-4b95-b422-edf9cbc66602"
"df_WARSUBCI_LABOUR_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","5b3742df-92e4-4f71-bd9b-8286108e1bf2"
"df_WKINVREG_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","b0e46e25-4fe4-4b97-808e-0840a2347c18"
"df_WKMECHWK_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","a5328184-b414-49f9-bdb7-ee361e774718"
"df_WKOTHSUB_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","5398a34b-d479-4d89-8048-0c6e0823f7c4"
"df_WKRODESC_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","1e6bc9c8-b408-4650-ac5d-9adf7213f500"
"df_WKROFILE_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","74c88e8e-8144-479b-a4be-f927bb1b9656"
"df_WKVEHFL_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","e21097ce-ae22-49e6-a639-15dcb7ef1eb6"
"Equipment Service - Data Quality Validation","LH_Master_Data","AdHoc","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","305b9935-ae1e-47b1-8289-4367786c4268"
