"Account Number","Engagement Level","Estimated Acres","Engaged Acre Breadth","Engaged Acre Depth","Highly Engaged Acres","Prepare Acres","Plant Acres","Apply Acres","Harvest Acres"
"62897","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20141","Highly Engaged Retained","","6623.00","104.00","104.00","2255.00","694.00","4428.00","100.00"
"18623","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"61935","Highly Engaged Retained","","455.00","140.00","140.00","150.00","139.00","454.00","89.00"
"32803","Land & Digital","","428.00","123.00","0.00","1.00","177.00","377.00","375.00"
"3221","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"51217","R12 Digitally Engaged","6000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"32231","R12 Digitally Engaged","4500","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"29340","Land & Digital","8500","530.00","1.00","0.00","395.00","0.00","1.00","530.00"
"38540","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"62262","Highly Engaged Retained","3000","7863.00","5005.00","5005.00","5315.00","7387.00","5631.00","2792.00"
"32057","Highly Engaged Retained","","10170.00","7706.00","7706.00","9527.00","7438.00","8785.00","4092.00"
"28840","Highly Engaged Retained","8000","11630.00","5619.00","5619.00","6562.00","7410.00","10950.00","2760.00"
"12312","R12 Digitally Engaged","3000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"16840","Highly Engaged Retained","3500","3489.00","2228.00","2228.00","2447.00","2850.00","3428.00","356.00"
"19678","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"61474","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"27930","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"35813","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"63983","Highly Engaged Retained","","2686.00","1843.00","1843.00","2666.00","2234.00","2079.00","1102.00"
"54016","Highly Engaged","","4400.00","11.00","11.00","328.00","2.00","3616.00","1963.00"
"41299","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1049","Land & Digital","","91.00","10.00","0.00","91.00","0.00","11.00","11.00"
"12381","Highly Engaged","6000","3890.00","2487.00","2487.00","3151.00","1762.00","3881.00","753.00"
"70074","Highly Engaged Retained","","4841.00","1786.00","1786.00","1766.00","3792.00","4683.00","610.00"
"37353","Highly Engaged Retained","","5724.00","1155.00","1155.00","5289.00","1163.00","5663.00","0.00"
"33062","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"64241","Highly Engaged Retained","","27.00","0.00","0.00","0.00","0.00","1.00","26.00"
"7688","Highly Engaged Retained","","19970.00","4.00","4.00","14.00","14.00","17635.00","3104.00"
"30639","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"59745","Highly Engaged Retained","","3617.00","3.00","3.00","2.00","1.00","3617.00","1395.00"
"12469","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"35526","Highly Engaged Retained","","3811.00","2494.00","2494.00","3308.00","2616.00","3682.00","0.00"
"18691","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"59580","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"31167","Land & Digital","","4366.00","2455.00","0.00","3654.00","2245.00","4031.00","765.00"
"13073","Highly Engaged","","10757.00","3895.00","3895.00","8974.00","7909.00","4900.00","2.00"
"51183","Highly Engaged","","2257.00","1224.00","1224.00","2144.00","1693.00","6.00","1527.00"
"2121","Highly Engaged Retained","","6121.00","1014.00","1014.00","4169.00","1022.00","5937.00","1144.00"
"26896","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"54915","Highly Engaged","","1414.00","1379.00","1379.00","1403.00","1347.00","1391.00","514.00"
"51740","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"30283","Highly Engaged Retained","","3973.00","2007.00","2007.00","2665.00","3915.00","3263.00","2.00"
"50057","Highly Engaged Retained","","1523.00","0.00","0.00","0.00","1523.00","157.00","0.00"
"24165","Land & Digital","","2801.00","0.00","0.00","0.00","0.00","2801.00","0.00"
"23971","Highly Engaged Retained","20000","16840.00","13099.00","13099.00","13274.00","13033.00","15725.00","10251.00"
"39561","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"64219","Land & Digital","","906.00","1.00","0.00","906.00","0.00","738.00","1.00"
"50366","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"59067","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"50767","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"37868","Highly Engaged Retained","3500","3451.00","1608.00","1608.00","1919.00","3263.00","1592.00","1245.00"
"51103","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1859","Highly Engaged Retained","","1.00","0.00","0.00","0.00","0.00","1.00","0.00"
"32571","Highly Engaged Retained","","534.00","306.00","306.00","533.00","465.00","307.00","0.00"
"19715","Highly Engaged Retained","","2589.00","711.00","711.00","1205.00","1745.00","2026.00","375.00"
"12093","Highly Engaged Retained","5000","5057.00","3709.00","3709.00","3558.00","3787.00","4928.00","1746.00"
"51706","R12 Digitally Engaged","7000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"26949","Highly Engaged Retained","","18471.00","8873.00","8873.00","16698.00","15963.00","9612.00","274.00"
"20247","Land & Digital","","9704.00","410.00","0.00","4455.00","4675.00","3936.00","2593.00"
"2512","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"13330","Highly Engaged Retained","","6386.00","4045.00","4045.00","5901.00","4013.00","5826.00","1134.00"
"41772","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"29021","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"64525","Highly Engaged Retained","","168.00","127.00","127.00","129.00","130.00","166.00","24.00"
"51033","Highly Engaged Retained","11000","6466.00","0.00","0.00","1.00","4.00","6466.00","3.00"
"53618","Highly Engaged Retained","","3.00","0.00","0.00","0.00","0.00","3.00","0.00"
"52526","R12 Digitally Engaged","2500","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23374","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20267","Highly Engaged Retained","","3851.00","1.00","1.00","3311.00","1.00","3551.00","0.00"
"41963","Highly Engaged Retained","","1728.00","1112.00","1112.00","1328.00","1629.00","246.00","1516.00"
"35426","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"56092","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"28668","Highly Engaged Retained","5000","6116.00","1151.00","1151.00","836.00","2501.00","5917.00","800.00"
"62293","Highly Engaged Retained","12000","8134.00","5634.00","5634.00","693.00","7922.00","7720.00","5758.00"
"29058","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"33320","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"53081","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"27192","Highly Engaged Retained","","4126.00","2356.00","2356.00","1915.00","2860.00","3811.00","2248.00"
"30457","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"16215","Highly Engaged Retained","","7254.00","3474.00","3474.00","7075.00","5626.00","4323.00","0.00"
"50920","Highly Engaged Retained","","6671.00","0.00","0.00","10.00","7.00","6671.00","1.00"
"53121","","","","","","","","",""
"43121","Highly Engaged Retained","","925.00","678.00","678.00","440.00","699.00","924.00","409.00"
"32364","Highly Engaged","","2178.00","0.00","0.00","1.00","2178.00","1.00","0.00"
"50095","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15286","Land & Digital","4000","156.00","0.00","0.00","0.00","156.00","0.00","0.00"
"14157","Highly Engaged Retained","","5783.00","12.00","12.00","5782.00","3577.00","14.00","1.00"
"22393","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1431","Land & Digital","10000","10808.00","6087.00","0.00","10153.00","7726.00","1981.00","7868.00"
"35907","Land & Digital","","1188.00","0.00","0.00","131.00","848.00","1058.00","0.00"
"18211","Highly Engaged Retained","","8207.00","3573.00","3573.00","7502.00","5164.00","5253.00","668.00"
"276","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67097","Highly Engaged Retained","5000","8090.00","1559.00","1559.00","1428.00","2261.00","3473.00","6507.00"
"34982","Highly Engaged","6000","3888.00","0.00","0.00","2.00","1.00","3888.00","312.00"
"54192","Highly Engaged Retained","","6388.00","3496.00","3496.00","4306.00","4464.00","6252.00","1735.00"
"18210","Highly Engaged","10000","12325.00","22.00","22.00","7764.00","23.00","12285.00","0.00"
"24936","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"32189","Highly Engaged Retained","5000","4908.00","4472.00","4472.00","4800.00","4841.00","4516.00","2718.00"
"35034","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"65866","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"24547","Land & Digital","","82.00","0.00","0.00","0.00","1.00","0.00","82.00"
"52306","Highly Engaged","15000","11435.00","11.00","11.00","14.00","16.00","11435.00","2841.00"
"42396","Land & Digital","2500","7394.00","0.00","0.00","1.00","0.00","7394.00","0.00"
"50267","Highly Engaged Retained","6000","8198.00","2.00","2.00","3.00","0.00","8198.00","2.00"
"33144","Land & Digital","5000","5749.00","0.00","0.00","0.00","2.00","5749.00","0.00"
"30861","Land & Digital","","1154.00","0.00","0.00","0.00","1154.00","0.00","0.00"
"20266","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"29447","Highly Engaged","","4526.00","2.00","2.00","3.00","1.00","4151.00","1760.00"
"64000","Highly Engaged Retained","","4068.00","1187.00","1187.00","1243.00","3744.00","3777.00","2.00"
"43204","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"54946","R12 Digitally Engaged","10000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"39942","Highly Engaged Retained","","7865.00","3653.00","3653.00","4640.00","4772.00","7249.00","0.00"
"41480","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"54370","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"30407","Land & Digital","","4289.00","0.00","0.00","6.00","0.00","4289.00","0.00"
"37670","R12 Digitally Engaged","3000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"66417","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"35903","Land & Digital","","810.00","0.00","0.00","714.00","0.00","0.00","471.00"
"54343","Land & Digital","","180.00","0.00","0.00","180.00","0.00","1.00","0.00"
"33008","Highly Engaged","5000","5995.00","31.00","31.00","1943.00","69.00","5819.00","3.00"
"25550","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"41553","Highly Engaged Retained","","3074.00","1384.00","1384.00","2170.00","1111.00","2345.00","1100.00"
"51430","Highly Engaged Retained","12000","16291.00","8341.00","8341.00","4828.00","9679.00","15900.00","9304.00"
"66864","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"27967","R12 Digitally Engaged","3500","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"205","Land & Digital","","1739.00","0.00","0.00","0.00","0.00","1739.00","0.00"
"107","Land & Digital","","7433.00","2908.00","0.00","3907.00","4205.00","5544.00","3537.00"
"37441","Land & Digital","","11167.00","37.00","0.00","101.00","141.00","11167.00","7.00"
"10647","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"30699","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"56704","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"33307","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"62481","Highly Engaged Retained","","4495.00","3787.00","3787.00","4316.00","4046.00","3970.00","2184.00"
"52194","Land & Digital","","6713.00","0.00","0.00","0.00","4.00","6713.00","0.00"
"30335","Highly Engaged Retained","","1646.00","50.00","50.00","58.00","423.00","1640.00","0.00"
"29961","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"38933","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"64255","Highly Engaged Retained","","257.00","0.00","0.00","0.00","0.00","257.00","0.00"
"17681","Highly Engaged Retained","10000","10197.00","2571.00","2571.00","7203.00","4432.00","7298.00","0.00"
"50446","Highly Engaged Retained","8000","9051.00","6175.00","6175.00","8676.00","7792.00","6847.00","0.00"
"17678","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"24153","Highly Engaged","1000","2170.00","266.00","266.00","334.00","1891.00","1838.00","67.00"
"21730","Highly Engaged Retained","","2890.00","43.00","43.00","186.00","181.00","2886.00","0.00"
"11664","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"41079","Land & Digital","","1393.00","9.00","0.00","1203.00","915.00","7.00","38.00"
"50223","Highly Engaged Retained","","6958.00","6635.00","6635.00","5523.00","6861.00","5593.00","6727.00"
"62465","Highly Engaged Retained","6000","7625.00","1250.00","1250.00","1723.00","3924.00","6890.00","491.00"
"11127","Highly Engaged Retained","","2376.00","1532.00","1532.00","1709.00","1180.00","2198.00","1308.00"
"251","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"973","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"11793","Land & Digital","","2161.00","0.00","0.00","361.00","2160.00","0.00","0.00"
"14801","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"30042","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"30054","Land & Digital","","3203.00","3.00","0.00","3203.00","3.00","103.00","0.00"
"39836","Highly Engaged Retained","","1125.00","0.00","0.00","1125.00","60.00","0.00","2.00"
"63944","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"56611","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"63946","Land & Digital","","160.00","1.00","0.00","75.00","160.00","2.00","0.00"
"67043","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1064","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20320","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"43103","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"18094","Highly Engaged Retained","","1222.00","1.00","1.00","1222.00","1.00","6.00","0.00"
"3600","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"29858","Highly Engaged","","4661.00","1.00","1.00","4.00","2132.00","4661.00","0.00"
"39992","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"30614","Highly Engaged Retained","","4991.00","2.00","2.00","2.00","2131.00","4991.00","1.00"
"15778","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"28495","Highly Engaged Retained","4500","7517.00","5458.00","5458.00","6569.00","6379.00","6711.00","1012.00"
"64921","Highly Engaged Retained","","10349.00","1686.00","1686.00","196.00","5328.00","9828.00","3426.00"
"2576","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"62834","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1140","Land & Digital","","10391.00","7993.00","0.00","8070.00","9422.00","10143.00","2131.00"
"64164","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"28938","R12 Digitally Engaged","3600","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"52493","Highly Engaged Retained","3000","2015.00","650.00","650.00","1714.00","1036.00","909.00","5.00"
"24109","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"18235","Land & Digital","","3139.00","3.00","0.00","3139.00","152.00","14.00","0.00"
"37938","","","","","","","","",""
"70137","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"242","Highly Engaged Retained","","3613.00","5.00","5.00","2360.00","6.00","3498.00","2.00"
"249","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"57424","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"66458","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"25581","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"54808","Highly Engaged Retained","","7510.00","2800.00","2800.00","1792.00","7023.00","7450.00","1287.00"
"52579","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"26060","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"39609","Highly Engaged Retained","","6163.00","4825.00","4825.00","3711.00","2910.00","5966.00","4915.00"
"16569","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"66950","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"51414","Highly Engaged Retained","","1080.00","261.00","261.00","452.00","315.00","896.00","126.00"
"3315","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"35047","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"999999","","","","","","","","",""
"35532","Highly Engaged Retained","","5208.00","1408.00","1408.00","5041.00","1773.00","4007.00","0.00"
"970","Land & Digital","","3379.00","1.00","0.00","923.00","2808.00","3.00","2.00"
"41155","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"36190","Highly Engaged Retained","","5629.00","2874.00","2874.00","4554.00","1393.00","5432.00","2714.00"
"30425","Land & Digital","","10099.00","0.00","0.00","2.00","0.00","10099.00","0.00"
"42335","Highly Engaged Retained","","4574.00","1843.00","1843.00","2882.00","3674.00","1544.00","2529.00"
"33322","Highly Engaged Retained","","5848.00","52.00","52.00","1744.00","0.00","5666.00","228.00"
"38806","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"63770","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"34011","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"42065","Highly Engaged Retained","","10031.00","1117.00","1117.00","8.00","9063.00","9059.00","1864.00"
"68175","Highly Engaged","","2957.00","21.00","21.00","1300.00","2347.00","219.00","0.00"
"38695","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"26514","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"38860","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"43112","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"63327","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"35612","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67375","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"5494","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"24599","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67197","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67264","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"36238","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"60550","Highly Engaged Retained","","5944.00","62.00","62.00","164.00","3570.00","10.00","3834.00"
"150","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"16519","Land & Digital","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67318","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"39352","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"26352","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"21364","Highly Engaged Retained","","1447.00","241.00","241.00","1388.00","612.00","200.00","149.00"
"20313","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"62972","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"41939","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"50166","Highly Engaged Retained","","11891.00","0.00","0.00","0.00","3903.00","11601.00","0.00"
"54544","R12 Digitally Engaged","6000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"13853","Highly Engaged","6000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2918","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"43433","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"52324","Highly Engaged Retained","","4593.00","1300.00","1300.00","2.00","3029.00","4592.00","1806.00"
"39526","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"32009","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"38016","Land & Digital","","1596.00","159.00","0.00","1430.00","245.00","1075.00","0.00"
"16539","R12 Digitally Engaged","8000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67323","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"28898","Highly Engaged","","273.00","0.00","0.00","2.00","0.00","1.00","273.00"
"67366","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"40786","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"68067","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"180","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67468","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"42707","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"62968","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"42123","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"24062","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67363","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"3030","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"35979","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2564","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"12537","Highly Engaged","","2179.00","7.00","7.00","2.00","2177.00","2035.00","11.00"
"67542","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67546","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67917","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67588","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67461","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"881","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"29204","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67594","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"42449","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"28888","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67644","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67632","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67543","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67719","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"26604","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"36412","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67010","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67530","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67728","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"43469","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"43259","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"50690","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67711","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"61914","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22616","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"50564","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"40159","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"54949","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67738","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"3798","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67654","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"59740","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"64517","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"66339","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"52539","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67735","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"18825","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67454","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"67802","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"40803","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"35506","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"32982","Land & Digital","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"63042","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
